symbol,shares_outstanding
BALMLAWRIE,171003846
BALPHARMA,15920872
BALRAMCHIN,211597496
BALUFORGE,121391900
BANARBEADS,6597522
BANARISUG,12539700
BANCOINDIA,143037300
BANDHANBNK,1611147348
BANG,13560000
BANKA,10922432
BANKBARODA,5171362179
BANKINDIA,4552667866
BANSALWIRE,156555952
BANSWRAS,34232084
BASF,43285640
BATAINDIA,128527540
BATLIBOI,47226840
BAYERCROP,44942092
BBL,11303120
BBOX,177599205
BBTC,69771900
BBTCL,20511240
BCG,2018521873
BCLIND,295163340
BCONCEPTS,12481877
BCPL,16723638
BDL,366562500
BEARDSELL,39437000
BECTORFOOD,306702212
BEDMUTHA,32263884
BEL,7309778829
BELLACASA,13387500
BELRISE,967151919
BEML,83289000
BENARAS,1300000
BEPL,248858460
BERGEPAINT,1166002812
BESTAGRO,354671100
BETA,10136890
BFINVEST,37667628
BFUTILITIE,37667628
BHAGCHEM,129669080
BHAGYANGR,33496434
BHANDARI,332956433
BHARATFORG,478088632
BHARATRAS,16621072
BHARATSE,62800000
BHARATWIRE,68782985
BHARTIARTL,6238658094
BHARTIHEXA,500000000
BHEL,3482063355
BIGBLOC,141575750
BIKAJI,250736400
BIL,13410411
BIMETAL,3825000
BIOCON,1628293737
BIOFILCHEM,16273800
BIRLACABLE,30000000
BIRLACORPN,77005347
BIRLAMONEY,56509201
BIRLANU,7540899
BLACKBUCK,182240745
BLAL,41644500
BLBLIMITED,52865258
BLIL,221972690
BLKASHYAP,225482408
BLS,411522253
BLSE,90654077
BLUECOAST,19679557
BLUEDART,23727934
BLUEJET,173465425
BLUESTARCO,205592636
BLUESTONE,152778705
BLUSPRING,149502111
BMWVENTLTD,86715000
BNAGROCHEM,97772941
BODALCHEM,125944065
BOHRAIND,21172152
BOMDYEING,206534900
BONLON,16383358
BORANA,26645295
BOROLTD,119587629
BORORENEW,147183709
BOROSCI,88947050
BOSCH-HCIL,27190884
BOSCHLTD,29496100
BPCL,4272584874
BPL,48975751
BRIGADE,326162379
BRIGHOTEL,379842565
BRIGHTBR,5680235
BRITANNIA,240868296
BRNL,83950000
BROOKS,29457248
BSE,406129077
BSHSL,104937280
BSL,10292168
BSOFT,279647056
BTML,181697777
BUILDPRO,24249326
BUTTERFLY,17879551
BVCL,22160000
CAMLINFINE,192091613
CAMPUS,305679721
CAMS,248418378
CANBK,9070651260
CANFINHOME,133154591
CANHLIFE,947484925
CANTABIL,83638040
CAPACITE,84604043
CAPILLARY,79471983
CAPITALSFB,45465185
CAPLIPOINT,76011696
CARBORUNIV,190505384
CARERATING,30087146
CARRARO,56851538
CARTRADE,48614885
CARYSIL,28442606
CASTROLIND,989122384
CCAVENUE,3481019690
CCCL,446759451
CCHHL,163464735
CCL,133342124
CDSL,209000000
CEATLTD,40450092
CEIGALL,174204861
CEINSYS,20937661
CELEBRITY,64548346
CELLO,220885034
CEMPRO,171787584
CENTENKA,21850589
CENTEXT,87913618
CENTRALBK,9051401274
CENTRUM,474507460
CENTUM,14762016
CENTURYPLY,222172990
CERA,12894976
CESC,1325570430
CEWATER,20696233
CGCL,962153962
CGPOWER,1575468309
CGVAK,5050200
CHALET,218994127
CHAMBLFERT,400652297
CHEMBOND,13448288
CHEMCRUX,14808840
CHEMFAB,14373702
CHEMPLASTS,158109574
CHENNPETRO,148911400
CHEVIOT,5841875
CHOICEIN,222776500
CHOLAFIN,854013036
CHOLAHLDNG,187777462
CIEINDIA,379362377
CIFL,391056300
CINELINE,38112587
CINEVISTA,57436475
CIPLA,807858447
CLEAN,106284121
CLEANMAX,117271170
CLEDUCATE,54292947
CLSEL,49725620
CMLL,65375785
CMSINFO,160063415
CNL,15016675
COALINDIA,6162728327
COASTCORP,66977230
COCHINSHIP,263080780
COFFEEDAY,211251719
COFORGE,442978090
COHANCE,382597330
COLPAL,271985634
COMFINTE,319938080
COMPEAU,6146000
COMPUSOFT,79125188
COMSYN,40339200
CONCOR,761617935
CONCORDBIO,104616204
CONFIPET,332241043
CONTROLPR,15994212
CORALFINAC,40302225
CORDELIA,723945430
CORDSCABLE,12927780
COROMANDEL,294541099
COSMOFIRST,25958155
CPCAP,18199006
CPEDU,18192939
CPPLUS,118300435
CRAFTSMAN,26154433
CRAMC,199417428
CREATIVEYE,20058250
CREDITACC,160259533
CREST,28268775
CRESTO,10211300
CRISIL,73130017
CRIZAC,174982500
CROMPTON,643914875
CROWN,11590000
CSBBANK,169477587
CSLFINANCE,22487484
CSM,51603472
CUB,990787237
CUBEXTUB,14318975
CUMMINSIND,277200000
CUPID,1344660700
CYIENT,104101639
CYIENTDLM,79364396
DABUR,1773957026
DALBHARAT,187728794
DALMIASUG,80939303
DAMCAPITAL,70686000
DANGEE,153975000
DATAMATICS,59106389
DATAPATTNS,55983969
DAVANGERE,1695895798
DBCORP,178254679
DBEIL,465808600
DBL,162444833
DBOL,65788590
DBREALTY,542406761
DCAL,156783095
DCBBANK,322178962
DCI,16400000
DCM,18677749
DCMFINSERV,22125054
DCMNVL,18677749
DCMSHRIRAM,154854814
DCMSIL,86992185
DCMSRIND,86992185
DCW,295155017
DCXINDIA,111386427
DDEVPLSTIK,103476664
DECCANCE,14007500
DECNGOLD,200970715
DEEDEV,75239438
DEEP,24180000
DEEPA,96124293
DEEPAKFERT,126365329
DEEPAKNTR,136393041
DEEPINDS,64000000
DELHIVERY,749294369
DELTACORP,267771097
DELTAMAGNT,10851120
DEN,476765914
DENORA,5308634
DENTA,26700000
DEVIT,56987659
DEVX,94631955
DEVYANI,1232939791
DGCONTENT,58022421
DHAMPURSUG,64306509
DHANBANK,394698851
DHANUKA,44578324
DHARMAJ,33797296
DHATRE,108954500
DHOOTTRANS,204548057
DHRUV,18966569
DHUNINV,6097178
DIAMINESQ,10055519
DIAMONDYD,23929955
DICIND,9178977
DIFFNKG,37126259
DIGIDRIVE,38561898
DIGISPICE,208603263
DIGITIDE,149179830
DISHTV,1841256154
DIVGIITTS,30582927
DIVISLAB,265468580
DIXON,60801893
DJML,35929249
DLF,2475311706
DLINKINDIA,35504850
DMART,652245977
DMCC,24939933
DNAMEDIA,117708018
DODLA,60327809
DOLATALGO,176000000
DOLLAR,56716120
DOLLEX,39948800
DOLPHIN,40004580
DOMS,60688336
DONEAR,52000000
DPABHUSHAN,22827920
DRCSYSTEMS,144081330
DREAMFOLKS,53269862
DREDGECORP,28000000
DRREDDY,832988625
DSSL,12737080
DUCON,574868346
DVL,35024754
DWARKESH,185301470
DYCL,48458638
DYNAMATECH,6791443
DYNPRO,12428387
EASEMYTRIP,3984650000
EBGNG,114011517
ECLERX,92025272
ECORECO,19296750
ECOSMOBLTY,60000000
EDELWEISS,946531653
EFCIL,147946162
EICHERMOT,274521706
EIDPARRY,177955692
EIEL,175530000
EIHAHOTELS,60936294
EIHOTEL,625364182
EIMCOELECO,5768385
EKC,112207682
ELANTAS,7927682
ELDEHSG,9833000
ELECON,224399930
ELECTCAST,618184591
ELECTHERM,12742814
ELGIEQUIP,315241478
ELGIRUBCO,50050000
ELIN,49709220
ELLEN,140935600
ELPROINTL,169479130
EMAMILTD,436500000
EMAMIREAL,52033889
EMBDL,1390033433
EMCURE,189710647
EMIL,384748762
EMKAY,27925580
EMMVEE,692345033
EMPOWER,1163798560
EMSLIMITED,55530807
EMUDHRA,82043531
ENDURANCE,140662848
ENERGYDEV,47500000
ENGINERSIN,562042373
ENIL,47670415
ENRIN,356120505
ENTERO,43523072
EPACK,96276695
EPACKPEB,100631006
EPIGRAL,43141338
EPL,320314159
EQUITASBNK,1144126917
ERIS,138583305
ESABINDIA,15393020
ESCORTS,110027390
ESDS,117210969
ESSARSHPNG,207884526
ESSENTIA,1755283254
ESTER,104295042
ETERNAL,9205393097
ETHOSLTD,26757693
EUREKAFORB,193636816
EUROBOND,24500000
EUROPRATIK,102200000
EVEREADY,72687260
EXCELINDUS,12570692
EXCELSOFT,115084164
EXICOM,139079771
EXIDEIND,850000000
EXPLEOSOL,15519739
EXXARO,447410700
FABTECH,44450794
FACT,647071974
FAZE3Q,24270922
FCL,1164500900
FCSSOFT,1709553100
FDC,162810084
FEDDERSHOL,201415970
FEDERALBNK,2470277782
FEDFINA,375141782
FERMENTA,28670688
FIBERWEB,28791710
FIEMIND,26319660
FILATEX,444058375
FILATFASH,8334072725
FINCABLES,152939345
FINEORG,30659976
FINKURVE,140143988
FINOPB,83218402
FINPIPE,618313905
FIRSTCRY,485236384
FISCHER,684407253
FIVESTAR,295195658
FLAIR,105395378
FLUOROCHEM,109850000
FMGOETZE,55632130
FMNL,66762955
FOODSIN,73531558
FORCEMOT,13176262
FORTIS,754958148
FOSECOIND,7574647
FRACTAL,171965112
FREDUN,16809270
FRONTSP,11815533
FSL,690535266
FUSION,161716337
GABRIEL,191634227
GAEL,458670660
GAIL,6575079643
GALAPREC,12816200
GALAXYSURF,36574793
GALLANTT,241280945
GANDHAR,97879530
GANDHITUBE,11283900
GANECOS,26737394
GANESHCP,40412946
GANESHHOU,83387090
GANGAFORGE,337005575
GANGESSECU,10003687
GARFIBRES,97648345
GARUDA,93041742
GATEWAY,499643836
GAUDIUMIVF,72786884
GAYAHWS,239651900
GAYAPROJ,464299000
GCSL,23485380
GEEKAYWIRE,104520000
GEMAROMA,52237138
GENCON,56986219
GENESYS,66864603
GENUSPAPER,257125940
GENUSPOWER,276598765
GEOJITFSL,279122119
GESHIP,141311746
GFLLIMITED,109800000
GHCL,91664382
GHCLTEXTIL,95585786
GICHSGFIN,53851066
GICRE,1754400000
GILLANDERS,21342346
GILLETTE,32585217
GIPCL,155215944
GKB,5040580
GKENERGY,202817266
GKSL,78842866
GKWLIMITED,5966500
GLAND,165010854
GLAXO,169406034
GLENMARK,282224672
GLFL,27125767
GLOBAL,50901500
GLOBALE,10620275
GLOBALVECT,14000000
GLOBE,450418788
GLOBECIVIL,59718999
GLOBUSSPR,31461293
GLOSTERLTD,10943260
GLOTTIS,92403000
GMBREW,22846923
GMDCLTD,318000000
GMMPFAUDLR,44957224
GMRAIRPORT,10558975952
GMRP&UI,781017529
GNA,42930800
GNFC,146940683
GNRL,128402632
GOACARBON,9151052
GOCLCORP,49572490
